wadmkc,xcoord,ycoord
Ciawi,106.893560723681,-6.70909079279528
Rumpin,106.631128517247,-6.4595293269097
Sukajaya,106.470509650693,-6.63137612671225
Cileungsi,106.996149737663,-6.40976812599727
Klapanunggal,106.955124001606,-6.48316755140072
Tanjungsari,107.139402515942,-6.61170588089213
Ciomas,106.76148727077,-6.60933584399505
Sukamakmur,107.01991757245,-6.59335750722342
Citeureup,106.892698513052,-6.52510496406705
Cariu,107.137144526768,-6.52741846394688
Leuwisadeng,106.587577128926,-6.57423320587198
Rancabungur,106.712540502653,-6.52149202157874
Leuwiliang,106.609902038636,-6.6401369325217
Jonggol,107.04629514365,-6.49566018240588
Cigombong,106.810149129059,-6.74544039016339
Cibinong,106.835511387254,-6.48437836733142
Tenjolaya,106.707984860627,-6.65359482346292
Megamendung,106.918096310667,-6.66378255147081
Babakanmadang,106.901704049011,-6.59117203505968
Nangguang,106.537687406321,-6.67260464551651
Sukaraja,106.840680305626,-6.57980155766426
Pamijahan,106.659624880302,-6.693284908106
Tenjo,106.479489370438,-6.37286405652126
Parungpanjang,106.554987458122,-6.3767011752795
Jasinga,106.45661598101,-6.48193504748969
Kemang,106.734694705089,-6.50294314889976
Tajurhalang,106.758875329444,-6.46854382410055
Caringin,106.865816385405,-6.73644760730718
Ciseeng,106.678608723819,-6.45540009566229
Cigudeg,106.546888698131,-6.49323498786752
Cisarua,106.955283830524,-6.69910121515143
Ciampea,106.69845241306,-6.57395298821429
Cibungbulang,106.661417054061,-6.57616403218792
Bojonggede,106.79296334197,-6.47635782992246
Gunungputri,106.931351837159,-6.40501583072955
Parung,106.712677639116,-6.4351329908106
Tamansari,106.745606685711,-6.65669468005277
Dramaga,106.729687597886,-6.5883839789849
Gunungsindur,106.68700973881,-6.38730439631991
Cijeruk,106.784117471001,-6.68656180220314
